word,intent
เนี่ย,
าา^^,noword
ถูกหวย,
หึ,stopword
อืม,ok
ร้องไห้,
มาแรง,
เสียดาย,
หมก,
ช้า,
ดำ,noword
กางเกงใน,
าา,noword
น้องสาว,person
ตั้งแต่แรก,
bot,product
ตัว,person
ไป,
คนละเรื่อง,
พวก,person
ร์,noword
ลำไย,
รอ,
นี้,stopword
รัด,
614900491,num
เกม,object
นอน,
หรอ,stopword
ขา,
ยังงัย,question
ใคร,person
อ้อม,
พิมพ์,
เคๆบั๊ย,bye
โดน,
ละคร,object
ไหล่,
ปกติ,
หน้า,
โอ,noword
หน้าตา,
เจ็บท้อง,
อื่น,noword
เลิกกัน,
สัก,
เธา,noword
สอบ,
เท่าไหร่,question
ล้พ,noword
งอน,
เล่น,
หน่อย,stopword
กลับ,stopword
ชิ,stopword
ก็ดี,stopword
ปีใหม่,date
แล้ว,stopword
จี้,noword
เด่,noword
up,stopword
ดู,
หนี,
ช่วย,
เคา,noword
เงียบ,
ผม,person
ทำ,stopword
ตั้งเวลา,
ป่าว,deny
--,noword
ที่สุด,stopword
ข้าว,food
น่ารัก,
??????????,noword
มิ้ง,noword
พา,stopword
ใจ,
ทางตรง,
เพ้อ,emotion
เศร้า,emotion
ของ,stopword
จิน,person
กระ,noword
นิว,person
เลือก,
black,
การ,stopword
กสิ,noword
เกิด,
เสริม,
รัก,
ๆๆ,noword
ดิ้,noword
อาวุโส,
ด้วยกัน,
55555,noword
ยยย,noword
หมายถึง,
หนัก,
พูดเก่ง,
แตก,
เตะ,
ยาก,
ธงไตรรงค์,
ภาษาอังกฤษ,
ๆๆๆๆๆ,noword
ตรงนั้น,place
ถูก,
์,noword
ปวดหัว,
ทั้งสอง,
แนว,
the,stopword
ประเทศไทย,country
แค่นี้,stopword
ตลาด,
สอน,
ฮือ,emotion
ชื่อ,
555,laugh
นิ,stopword
keyboard,product
ความ,stopword
บริษัท,
ให้บริการ,
ของขวัญ,object
หึหึ,stopword
อยู่,stopword
of,stopword
เคย,stopword
ฟฟๆๆๆ,noword
ก้อง,person
เเล้ว,stopword
เหมือนกัน,
จะ,stopword
ต้อง,stopword
น่า,stopword
จักร,object
เเน่,stopword
คนดี,person
ซื้อ,
ดดดดด,noword
ยาง,deny
ก่อน,
ก้รุ้,stopword
เดี๋ยวก่อน,stopword
สงกรานต์,date
เตรียม,
อะไร,question
จัง,stopword
เฉย,stopword
ผิด,deny
มาหา,
ไม่มี,deny
จ้ะ,stopword
ชีวิต,
ช่างมัน,
โอกาส,
า,noword
**,noword
~~~,noword
เลข,num
โรงแรม,
คือ,stopword
เสนอ,
งือๆๆๆ,stopword
a,noword
เป้,noword
ก,noword
`,noword
ง้อ,
คำ,
ทำงานต่อ,
มัคเ,noword
55,laugh
ไม่เห็น,
ริ,noword
ยู่,noword
เมื่อไร,question
หาย,
and,stopword
55555555,laugh
ดราม่า,
นอนไม่หลับ,
เบื่อ,
เย,noword
อก,noword
ห,noword
นิดนึง,
เป็นเพื่อน,
จุ๊บ,
โค,object
เน็ต,object
ตรงนี้,
ตื่น,
ไม่จำเป็น,deny
ชาย,person
แล้,noword
แอด,
ง,noword
your,person
ขึ้นปีใหม่,date
ไม่แน่ใจ,deny
for,stopword
เก็บ,
ซ้าย,
สดี,noword
ออก,
เสิน,noword
ดิ,stopword
คุย,
นวล,
ะ,noword
พึ่ง,
ภาษา,
จุ้,stopword
โต,
ตั้งชื่อ,
เรื่อง,
คาน,object
พอง,
ชัก,
พล,noword
หมกมุ่น,
ถอด,
อิอิ,stopword
คนเดียว,
แล้วแต่,
มกราคม,month
ช่าย,ok
แค่,stopword
เห,noword
ลา,bye
ถ่านไฟ,
เข้าใจ,
วันหนึ่ง,
บา,noword
ทำไม,question
เต้า,noword
หวย,
กุ,person
ที,stopword
กะ,stopword
เรียนจบ,
สงสัย,
แป,noword
ยัง,stopword
ห้าม,
จัล,noword
เดินเรือ,
พยายาม,
เจอกัน,
ยังไง,question
ป,noword
ร้อน,
เอ๋,
นายก,person
ความสุข,
สมาส,stopword
มรึง,person
ใช้,
งี้,stopword
เลิก,
ค่อย,
ตัง,
นั่งสมาธิ,
โหล,greeting
ไช่,
ไมโครเวฟ,product
motorcycle,product
ช่อง,
บัตร,object
มือถือ,product
จ๊ะ,stopword
หนัง,object
เเน่นอน,
ดี,
จิง,
น้ะ,stopword
ซะ,stopword
โอ๋,
ฮิ้วๆๆๆๆๆๆๆ,stopword
Hello,greeting
ช่าง,
ดูดวง,
วิ่ง,
สวน,
ตอนนี้,time
ช้ะ,stopword
เบกใก,noword
+,noword
วง,noword
คอม,product
people,person
เพิ่ง,
เหมือนเดิม,
ว่า,stopword
คำตอบ,
ระบบ,product
หร้,noword
โท,
เพื่อน,person
โอเค,
ขาย,
ไม่รู้,deny
city,place
อดทน,
ทัก,
ฮับ,stopword
ทางการ,
แหน,
งาย,stopword
โลก,
ต่อย,
เรา,person
ล้อ,
เต้,noword
รี่,noword
ขนาด,
641587998,number
ไล่,
แจ็ค,person
ทองแดง,object
ล้่า,noword
ออกมา,
ไม่มีทาง,deny
แบบนี้,stopword
เค้า,person
ทุ่ม,
น,noword
ตรงไหน,
ออกจะ,stopword
ไม่ได้เรื่อง,
สาขา,
โปร,
บอกเลิก,
ง่วงนอน,
ชอบ,
^,noword
แทน,
หรือยัง,
ท,noword
รู้ตัว,
ไห้,
คง,stopword
กลัว,
กับ,stopword
อือ,stopword
แฮปปี้,
ชม,
เข้า,
ไม่,deny
พูดมาก,
ฮ่า,laugh
ล่ะ,stopword
เหนื่อย,
ทำงานบ้าน,
คนอื่น,person
ฉี่,
คนต่างชาติ,person
มลายู,
Female,person
กัน,stopword
คืนดี,
ล,noword
แค่นั้น,noword
รายได้,
โทด,
ก้...,stopword
ชื่อว่า,
อากาศ,
อสิ,noword
คบ,
.,noword
ปะ,noword
หลาย,
ด้วย,
อ่อย,
แปล,
คุ้ม,
chat,
น้าน,stopword
ฝนตก,
ใช่ไหม,question
เช้านี้,time
เบอร์,
หัวใจ,
ฝันดี,
กิน,food
ดีกัน,
ย์,noword
แค,noword
กลับบ้าน,
ว้าย,stopword
ถาม,question
อยากรู้,
คา,noword
ทำงาน,
อาหาร,food
แว้ว,stopword
สา,noword
มั้ย,question
โอชา,noword
ตอบ,
มี,ok
ยืน,
กรอง,
กำลังจะ,stopword
เป็นครั้งแรก,time
มั่ว,
ใช่,ok
เสด,stopword
😁,stopword
รัช,noword
ตั้ง,noword
ลากิจ,
....,noword
ที่,stopword
สอบถาม,question
อ่าน,
อม,
เที่ยง,
หน,noword
สรุป,
รู้เรื่อง,
เดิม,
ยุ่ง,
ระบาย,
ตัวเอง,person
เชียว,
อาบน้ำ,
เมารถ,
ดวง,
กว่า,stopword
เว่า,
บอก,
โต๊ย,noword
ผู้ชาย,person
สมอง,object
ว้าว,stopword
สัญญา,
สินค้า,product
กำลังใจ,
งือๆ,stopword
กลาง,
ปลุก,
ถึง,
เริ่ม,stopword
รู้จัก,
พี่ชาย,person
one,num
ม่,noword
เปล่า,deny
ไปหา,
advertising-downtown-signage-display,product
เป่า,
นอกใจ,
าาา,noword
คอย,
ตอนเช้า,time
ตะเอง,person
ปลอบ,
อ่ะ,noword
ประเทศ,
จ้า,ok
นางเอก,person
ๆๆๆๆๆๆๆๆ,noword
พนักงาน,person
ม่า,noword
มหาราช,person
เหม่,noword
รี,noword
ฟัง,
เหล้า,drink
นี้แหละ,stopword
มีเรื่อง,
ค,noword
ลำ,noword
รึ,
คิดมาก,
เดฟ,
บ้า,
แบก,
สาย,time
กวน,
แหละ,stopword
voip,product
สนุก,
อ้วก,
หูฉลาม,object
ขึ้น,stopword
มั้ง,
โอ้ย,stopword
ะะ,noword
ตาย,
หวัด,
ไม,question
อ,noword
แวะ,stopword
5555555,laugh
ชาวเกาะ,person
เสียง,
เมื่อไหร่,question
เกลียด,emotion
ส,noword
แบ้,noword
สส,noword
เกือบ,stopword
ผี,person
ให้,
ผ่าน,
ส่ง,
เสือดำ,animal
สด,
กลับมา,
แดก,food
มัน,
ขอ,
นาน,
เร้า,noword
ป่า,place
ชิ้น,stopword
บอ,noword
ผาก,noword
ๆ,noword
เถ,noword
คน,person
มาย,person
หยอก,
เครียด,emotion
เอ้า,stopword
ได้,ok
หม,noword
เบียร์,drink
😢,emotion
สนใจ,
ไว,stopword
เช็ค,
แปบ,stopword
ละ,stopword
น้ำ,object
เท,
ว,noword
k-pop,
นึกถึง,
กก,noword
เเค่,stopword
รู้,
ไหน,question
red,
ฝัน,
เลยเวลา,
รำ,
บาย,bye
หอ,place
ที่แล้ว,
รู้อยู่,
เยอะ,
landscape,place
รายละเอียด,
กม,noword
โรงเรียน,
ไก่,
ร้อง,
เป็นบ้า,
โทร,
อ่า,ok
เหอะ,stopword
หรือ,stopword
ออกนอกเรื่อง,
ง่วง,
แต่งงาน,
ซี,noword
เรียก,stopword
สิ,stopword
งั้น,stopword
เดี๋ยว,stopword
paplm,person
เจ็บ,
ค้าง,stopword
ริมทะเล,place
555555,laugh
ทิ,noword
ทั้ง,stopword
เหมาะสำหรับ,stopword
ไหม,question
ก้,stopword
เซ,noword
ร่า,noword
ความคิด,
ทาง,stopword
ติดต่อ,
เปิด,
มือ,
อัน,noword
ก็,stopword
เเฟ,noword
พุด,
ช้าง,animal
posing,stopword
ยาว,
ชวน,stopword
จำ,
ชาติ,
face-nose-image-head-arm-advertising-organ-abdomen-brand-screenshot,object
เยีย,noword
ลอง,
ต้องการ,stopword
เบลอ,
............,stopword
จีบ,
ประตู,object
ก้อ,stopword
ภาค,
ว่ะ,stopword
ทาม,
ค่ะ,stopword
บุ๋ม,person
กำหนดให้,
ยย,noword
เข้าไป,
แก,person
ค่อยๆ,stopword
name,person
เท่าไร,question
เดิน,
ครีม,product
เอง,stopword
ด่า,
กลืนน้ำลาย,
ใน,
อยาก,
😝,
นึ่ง,
ไม่ได้,deny
ตี,
กี่,question
ดาว,
งืมมมม,ok
แต่,stopword
ต้นไม้,object
เจอ,
เก็บเงิน,
ฮา,laugh
เป็น,stopword
ก่อตั้ง,
เห้ย,stopword
ตอน,
เครื่อง,
บ้าบอ,deny
ดีกว่า,
คำอุทาน,
หมอ,
รัชสมัย,
แน่นอน,
กรู,person
วะ,stopword
อายุ,
หาว,
เกินไป,deny
ได่,noword
แบบ,stopword
เ,noword
เด้อ,stopword
ไม่ไหว,deny
ย่ะ,stopword
รต,noword
มั๊ย,question
จริง,ok
เหมือน,
นะ,stopword
อะ,stopword
จำได้,
เคๆ,ok
ปา,
แอบ,stopword
บ,noword
เอ่ย,stopword
5555,laugh
วัน,date
วันที่,date
พรุ่งนี้,date
มะรืน,date
เมื่อวาน,date
วานซืน,date
อาทิตย์หน้า,date
สัปดาห์หน้า,date
กระบี่,place
กรุงเทพมหานคร,place
กาญจนบุรี,place
กาฬสินธุ์,place
กำแพงเพชร,place
ขอนแก่น,place
จันทบุรี,place
ฉะเชิงเทรา,place
ชลบุรี,place
ชัยนาท,place
ชัยภูมิ,place
ชุมพร,place
เชียงราย,place
เชียงใหม่,place
ตรัง,place
ตราด,place
ตาก,place
นครนายก,place
นครปฐม,place
นครพนม,place
นครราชสีมา,place
นครศรีธรรมราช,place
นครสวรรค์,place
นนทบุรี,place
นราธิวาส,place
น่าน,place
บึงกาฬ,place
บุรีรัมย์,place
ปทุมธานี,place
ประจวบคีรีขันธ์,place
ปราจีนบุรี,place
ปัตตานี,place
พะเยา,place
พระนครศรีอยุธยา,place
พังงา,place
พัทลุง,place
พิจิตร,place
พิษณุโลก,place
เพชรบุรี,place
เพชรบูรณ์,place
แพร่,place
ภูเก็ต,place
มหาสารคาม,place
มุกดาหาร,place
แม่ฮ่องสอน,place
ยโสธร,place
ยะลา,place
ร้อยเอ็ด,place
ระนอง,place
ระยอง,place
ราชบุรี,place
ลพบุรี,place
ลำปาง,place
ลำพูน,place
เลย,place
ศรีสะเกษ,place
สกลนคร,place
สงขลา,place
สตูล,place
สมุทรปราการ,place
สมุทรสงคราม,place
สมุทรสาคร,place
สระแก้ว,place
สระบุรี,place
สิงห์บุรี,place
สุโขทัย,place
สุพรรณบุรี,place
สุราษฎร์ธานี,place
สุรินทร์,place
หนองคาย,place
หนองบัวลำภู,place
อ่างทอง,place
อำนาจเจริญ,place
อุดรธานี,place
อุตรดิตถ์,place
อุทัยธานี,place
อุบลราชธานี,place
อัฟกานิสถาน,country
แอลเบเนีย,country
แอลจีเรีย,country
อเมริกันซามัว,country
อันดอร์รา,country
แองโกลา,country
แองกวิลลา,country
ออสเตรเลียนแอนตาร์กติกเทร์ริทอรี,country
แอนติกาและบาร์บูดา,country
อาร์เจนตินา,country
อาร์มีเนีย,country
อารูบา,country
ออสเตรเลีย,country
ออสเตรีย,country
อาเซอร์ไบจาน,country
บาฮามาส,country
บาห์เรน,country
บังกลาเทศ,country
บาร์เบโดส,country
เบลารุส,country
เบลเยียม,country
เบลีซ,country
เบนิน,country
เบอร์มิวดา,country
ภูฏาน,country
โบลิเวีย,country
บอสเนียและเฮอร์เซโกวีนา,country
บอตสวานาa,country
เกาะบูเวต,country
บราซิล,country
บริติชอินเดียนโอเชียนเทร์ริทอรี,country
หมู่เกาะบริติชเวอร์จิน,country
บรูไนดารุสซาลาม,country
บัลแกเรีย,country
บูร์กินาฟาโซ,country
บุรุนดี,country
กัมพูชา,country
แคเมอรูน,country
แคนาดา,country
กาบูเวร์ดี,country
หมู่เกาะเคย์แมน,country
สาธารณรัฐแอฟริกากลาง,country
ชาด,country
ชิลี,country
จีน,country
เกาะคริสต์มาส,country
หมู่เกาะโคโคส,country
โคลอมเบีย,country
คอโมโรส,country
สาธารณรัฐคองโก,country
หมู่เกาะคุก,country
คอสตาริกา,country
โกตดิวัวร์,country
ไอวอรีโคสต์,country
โครเอเชีย,country
คิวบา,country
ไซปรัส,country
สาธารณรัฐเช็ก,country
เดนมาร์ก,country
จิบูตี,country
ดอมินีกา,country
สาธารณรัฐโดมินิกัน,country
เอกวาดอร์,country
อียิปต์,country
เอลซัลวาดอร์,country
อิเควทอเรียลกินี,country
เอริเทรีย,country
เอสโตเนีย,country
เอธิโอเปีย,country
หมู่เกาะแฟโร,country
หมู่เกาะฟอล์กแลนด์,country
ฟิจิ,country
ฟินแลนด์,country
ฝรั่งเศส,country
เฟรนช์เกียนา,country
เฟรนช์โปลินีเซีย,country
เฟรนช์เซาเทิร์นและแอนตาร์กติกแลนส์,country
กาบอง,country
แกมเบีย,country
จอร์เจีย,country
เยอรมนี,country
กานา,country
ยิบรอลตาร์,country
กรีซ,country
กรีนแลนด์,country
เกรเนดา,country
กัวเดอลุป,country
กวม,country
กัวเตมาลา,country
เกิร์นซีย์,country
กินี,country
กินี-บิสเซา,country
กายอานา,country
เฮติ,country
เกาะเฮิร์ดและหมู่เกาะแมกดอนัลด์,country
นครรัฐวาติกัน,country
ฮอนดูรัส,country
ฮ่องกง,country
ฮังการี,country
ไอซ์แลนด์,country
อินเดีย,country
อินโดนีเซีย,country
อิหร่าน,country
อิรัก,country
ไอร์แลนด์,country
เกาะแมน,country
อิสราเอล,country
อิตาลี,country
จาเมกา,country
ญี่ปุ่น,country
เจอร์ซีย์,country
จอร์แดน,country
คาซัคสถาน,country
เคนยา,country
คิริบาส,country
เกาหลีใต้,country
เกาหลีเหนือ,country
คูเวต,country
คีร์กีซสถาน,country
ลาว,country
ลัตเวีย,country
เลบานอน,country
เลโซโท,country
ไลบีเรีย,country
ลิเบีย,country
ลิกเตนสไตน์,country
ลิทัวเนีย,country
ลักเซมเบิร์ก,country
มาเก๊า,country
สาธารณรัฐมาซิโดเนีย,country
มาดากัสการ์,country
มาลาวี,country
มาเลเซีย,country
มัลดีฟส์,country
มาลี,country
มอลตา,country
หมู่เกาะมาร์แชลล์,country
มาร์ตีนิก,country
มอริเตเนีย,country
มอริเชียส,country
มายอต,country
เม็กซิโก,country
ไมโครนีเซีย,country
มอลโดวา,country
โมนาโก,country
มองโกเลีย,country
มอนเตเนโกร,country
มอนต์เซอร์รัต,country
โมร็อกโก,country
โมซัมบิก,country
พม่า,country
นามิเบีย,country
นาอูรู,country
เนปาล,country
เนเธอร์แลนด์แอนทิลลีส,country
เนเธอร์แลนด์,country
นิวแคลิโดเนีย,country
นิวซีแลนด์,country
นิการากัว,country
ไนเจอร์,country
ไนจีเรีย,country
นีอูเอ,country
เกาะนอร์ฟอล์ก,country
หมู่เกาะนอร์เทิร์นมาเรียนา,country
นอร์เวย์,country
โอมาน,country
ปากีสถาน,country
ปาเลา,country
รัฐปาเลสไตน์,country
ปานามา,country
ปาปัวนิวกินี,country
ปารากวัย,country
เปรู,country
ฟิลิปปินส์,country
หมู่เกาะพิตแคร์น,country
โปแลนด์,country
โปรตุเกส,country
เปอร์โตริโก,country
กาตาร์,country
เรอูว์นียง,country
โรมาเนีย,country
รัสเซีย,country
รวันดา,country
แซ็ง-บาร์เตเลมี,country
เซนต์เฮเลนา,country
เซนต์คิตส์และเนวิส,country
เซนต์ลูเซีย,country
แซ็ง-มาร์แต็ง,country
แซงปีแยร์และมีเกอลง,country
เซนต์วินเซนต์และเกรนาดีนส์,country
ซามัว,country
ซานมารีโน,country
เซาตูเมและปรินซิปี,country
ซาอุดีอาระเบีย,country
เซเนกัล,country
เซอร์เบีย,country
เซเชลส์,country
เซียร์ราลีโอน,country
สิงคโปร์,country
สโลวาเกีย,country
สโลวีเนีย,country
หมู่เกาะโซโลมอน,country
โซมาเลีย,country
แอฟริกาใต้,country
เกาะเซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช,country
สเปน,country
ศรีลังกา,country
ซูดาน,country
ซูรินาม,country
สฟาลบาร์,country
ยานไมเอน,country
สวาซิแลนด์,country
สวีเดน,country
สวิตเซอร์แลนด์,country
ซีเรีย,country
ไต้หวัน,country
ทาจิกิสถาน,country
แทนซาเนีย,country
ไทย,country
ติมอร์-เลสเต,country
โตโก,country
โตเกเลา,country
ตองกา,country
ตรินิแดดและโตเบโก,country
ตูนิเซีย,country
ตุรกี,country
เติร์กเมนิสถาน,country
หมู่เกาะเติกส์และหมู่เกาะเคคอส,country
ตูวาลู,country
ยูกันดา,country
ยูเครน,country
สหรัฐอาหรับเอมิเรตส์,country
สหราชอาณาจักร,country
อเมริกา,country
สหรัฐอเมริกา,country
เกาะเล็กรอบนอกของสหรัฐอเมริกา,country
หมู่เกาะเวอร์จินของสหรัฐอเมริกา,country
อุรุกวัย,country
อุซเบกิสถาน,country
วานูอาตู,country
เวเนซุเอลา,country
เวียดนาม,country
วาลลิสและฟุตูนา,country
เวสเทิร์นสะฮารา,country
เยเมน,country
แซมเบีย,country
ซิมบับเว,country
สถานี,place
โรงหนัง,place
พารากอน,place
rca,place
มหาลัย,place
มหาวิทยาลัย,place
ห้าง,place
นาย,person
นาง,person
นางสาว,person
คุณ,person
น้อง,person
พี่,person
บอส,person
พ่อ,person
แม่,person
มึง,person
กู,person
เขา,person
หัวหน้า,person
ประธาน,person
ลูกน้อง,person
ลูกพี่,person
หนุ่ม,person
สาว,person
ฉัน,person
เธอ,person
หล่อน,person
ลุง,person
ป้า,person
น้า,person
ปู่,person
ย่า,person
ตา,person
ยาย,person
หูฟัง,product
นาฬิกา,product
บ่าย,time
ค่ำ,time
หนึ่ง,num
สอง,num
สาม,num
สี่,num
ห้า,num
หก,num
เจ็ด,num
แปด,num
เก้า,num
สิบ,num
ร้อย,num
พัน,num
หมื่น,num
แสน,num
ล้าน,num
จันทร์,date
อังคาร,date
พุทธ,date
พฤหัส,date
ศุกร์,date
เสาร์,date
อาทิตย์,date
